CustomerID;Nationalite;Noms;Prenoms;Genre;Titre;Date_de_naissance;Age;Addresse;Ville;CodeDept;Departement;CodePostal;CodePays;Pays;Email;Telephone;IndicatifPays;CarteType;NumeroCarte;ExpirationCarte;NationalID;Poste;Employeur
30;United_Kingdom;Marshall;Olivia;female;Mrs.;1/27/1975;49;77 rue Marie de Médicis;BÉZIERS;LN;Languedoc-Roussillon;34500;FR;France;OliviaMarshall@dayrep.com;04.91.72.68.13;33;Visa;4929467980237980;01/04/2026;2750113577466 36;Cleaner;Knockout Kickboxing
31;Hispanic;Matías;Traful;male;Mr.;10/9/1973;50;92 rue Isambard;FORT-DE-FRANCE;MQ;Martinique;97234;FR;France;TrafulMatiasHenriquez@gustr.com;05.22.87.68.67;33;Visa;4556378582380980;01/09/2028;1731010167025 55;Library clerk;First Rate Choice
32;Eritrean;Berhane;Saare;male;Mr.;12/20/1959;64;83 rue Goya;LE MANS;PL;Pays de la Loire;72000;FR;France;SaareBerhane@cuvox.de;02.79.11.61.46;33;Visa;4539728167503160;01/03/2025;1591214920803 92;Inside order clerk;Hechinger
33;Igbo;Onyemachukwu;Kamdibe;female;Ms.;8/13/1940;84;18 rue Gontier-Patin;AIX-EN-PROVENCE;PA;Provence-Alpes-Côte d'Azur;13090;FR;France;KamdibeOnyemachukwu@gustr.com;04.00.83.73.70;33;MasterCard;5237907735987330;01/10/2028;2400843210024 89;Delivery service driver;Tape World
34;German;Fruehauf;Ulrike;female;Ms.;1/14/1983;41;5 Rue de Strasbourg;CLICHY-SOUS-BOIS;IL;Île-de-France;93390;FR;France;UlrikeFruehauf@teleworm.us;01.57.72.54.56;33;Visa;4485465542987950;01/07/2028;2830153005665 05;Machine offbearer;ABC Markets
35;Brazil;Cavalcanti;Luiz;male;Mr.;3/26/1995;29;87 rue Sadi Carnot;AUBERVILLIERS;IL;Île-de-France;93300;FR;France;LuizRibeiroCavalcanti@armyspy.com;01.71.01.58.40;33;Visa;4532098058772690;01/10/2029;1950393226530 72;HVACR technician;Al's Auto Parts
36;Eritrean;Osman;Nuguse;male;Mr.;12/28/2000;23;14 Chemin Des Bateliers;ANGERS;PL;Pays de la Loire;49100;FR;France;NuguseOsman@superrito.com;02.23.71.70.47;33;Visa;4916204492150650;01/02/2025;1001265522026 64;Database administrator;Northern Star
37;United_Kingdom;Woods;Caitlin;female;Mrs.;5/20/1984;40;35 Chemin des Bateliers;ALBI;MP;Midi-Pyrénées;81000;FR;France;CaitlinWoods@armyspy.com;05.00.80.47.95;33;Visa;4929475050671700;01/06/2026;2840540109980 40;Nurse educator;Griff's Hamburgers
38;United_Kingdom;Barber;Isabella;female;Mrs.;12/30/1976;47;67 rue Porte d'Orange;CAVAILLON;PA;Provence-Alpes-Côte d'Azur;84300;FR;France;IsabellaBarber@superrito.com;04.72.21.40.05;33;Visa;4556126556324720;01/04/2025;2761210594138 62;Horse trainer;Cavages
39;Australian;Praed;Holly;female;Ms.;9/23/1981;43;75 Rue Hubert de Lisle;LOOS;NP;Nord-Pas-de-Calais;59120;FR;France;HollyPraed@jourrapide.com;03.34.67.13.01;33;MasterCard;5102019271062630;01/09/2028;2810998124331 48;Mail processing machine operator;CSK Auto
40;Hispanic;Collazo;Geraldo;male;Dr.;6/21/1966;58;69 rue de Raymond Poincaré;NEUILLY-SUR-SEINE;IL;Île-de-France;92200;FR;France;GeraldoCollazoApodaca@cuvox.de;01.19.05.84.77;33;MasterCard;5168690387977300;01/07/2026;1660675539682 51;Sound mixer;Olson Electronics
41;Hispanic;Santillán;Marlon;male;Mr.;4/14/1971;53;74 rue des Coudriers;MURET;MP;Midi-Pyrénées;31600;FR;France;MarlonSantillanRiojas@gustr.com;05.23.15.76.13;33;MasterCard;5529546321334990;01/11/2025;1710422248138 03;Web programmer;Star Interior Design
42;Eritrean;Semhar;Temesgen;male;Mr.;12/8/1951;72;28 rue du Président Roosevelt;SARTROUVILLE;IL;Île-de-France;78500;FR;France;TemesgenSemhar@fleckens.hu;01.16.27.31.93;33;MasterCard;5336235995456860;01/03/2026;1511251040474 24;Tire changer;Maxaprofit
43;United_Kingdom;Thompson;Spencer;male;Mr.;4/5/1976;48;30 rue des Coudriers;MOULINS;AU;Auvergne;3000;FR;France;SpencerThompson@gustr.com;04.68.62.57.56;33;MasterCard;5110669980042270;01/12/2026;1760434887653 22;Member services counselor;Gemco
44;American;Dixon;Thelma;female;Mrs.;2/7/1961;63;77 Rue de Verdun;MONTÉLIMAR;RA;Rhône-Alpes;26200;FR;France;ThelmaPDixon@cuvox.de;04.36.25.40.32;33;MasterCard;5153261771477830;01/08/2028;2610204228573 92;Geographic information specialist;Irving's Sporting Goods
45;Brazil;Carvalho;Nicolas;male;Mr.;4/28/1949;75;95 rue Bonneterie;MILLAU;MP;Midi-Pyrénées;12100;FR;France;NicolasFerreiraCarvalho@armyspy.com;05.60.84.03.60;33;Visa;4532013805512760;01/09/2028;1490410783827 89;Material dispatching;Bountiful Harvest Health Food Store
46;French;Josseaume;Fauna;female;Ms.;2/9/1954;70;52 rue du Clair Bocage;LA TESTE-DE-BUCH;AQ;Aquitaine;33260;FR;France;FaunaJosseaume@fleckens.hu;05.15.94.00.30;33;Visa;4716352643944470;01/12/2028;2540286315797 43;Server;Adapt
47;German;Reinhardt;Phillipp;male;Mr.;12/16/1989;34;99 rue Banaudon;LYON;RA;Rhône-Alpes;69009;FR;France;PhillippReinhardt@gustr.com;04.48.16.38.27;33;Visa;4929875508338820;01/12/2025;1891261581995 56;Army;Food Fair
48;Eritrean;Muhammed;Hagos;male;Mr.;5/30/1989;35;62 rue de Geneve;AMIENS;PI;Picardie;80090;FR;France;HagosMuhammed@armyspy.com;03.70.38.46.42;33;MasterCard;5377598241393740;01/02/2028;1890500643764 59;Legislator;Unity Frankford Stores
49;American;Robinson;Katherine;female;Ms.;12/12/1963;60;53 Boulevard de Normandie;FONTENAY-AUX-ROSES;IL;Île-de-France;92260;FR;France;KatherineLRobinson@einrot.com;01.10.43.43.52;33;Visa;4929761437259050;01/11/2028;2631285885183 84;Production machinist;Bugle Boy
50;United_Kingdom;Clarke;Niamh;female;Ms.;12/31/1975;48;95 rue Adolphe Wurtz;LE PETIT-QUEVILLY;HN;Haute-Normandie;76140;FR;France;NiamhClarke@cuvox.de;02.87.72.72.32;33;Visa;4556143276018960;01/02/2027;2751237418503 29;Manufacturers;Home Centers
51;Eritrean;Habte;Dahlak;male;Mr.;1/17/1975;49;26 Avenue des Pr'es;MONTMORENCY;IL;Île-de-France;95160;FR;France;DahlakHabte@teleworm.us;01.76.81.49.21;33;MasterCard;5395411814298680;01/08/2029;1750188135174 70;Head hunter;VitaGrey
52;French;Tachel;Eustache;male;Mr.;10/21/2003;20;47 rue du Fossé des Tanneurs;THONON-LES-BAINS;RA;Rhône-Alpes;74200;FR;France;EustacheTachel@dayrep.com;04.65.08.30.17;33;Visa;4916153502636580;01/01/2025;1031081748724 26;Commercial diver;Trak Auto
53;American;Briggs;Jessica;female;Mrs.;8/21/1979;45;13 Rue de la Pompe;MANTES-LA-JOLIE;IL;Île-de-France;78200;FR;France;JessicaMBriggs@gustr.com;01.34.04.08.45;33;Visa;4556916846204540;01/02/2026;2790889734583 57;Computer aide;Bodega Club
54;Brazil;Cavalcanti;Emilly;female;Ms.;12/12/1964;59;43 rue Isambard;FRÉJUS;PA;Provence-Alpes-Côte d'Azur;83600;FR;France;EmillySilvaCavalcanti@armyspy.com;04.47.17.01.21;33;Visa;4929033051864800;01/05/2025;2641282169501 35;Industrial-organizational psychologist;Maxiserve 
55;Igbo;Ozuluonye;Chidiebele;male;Dr.;3/4/1945;79;14 rue Reine Elisabeth;MÉRIGNAC;AQ;Aquitaine;33700;FR;France;ChidiebeleOzuluonye@superrito.com;05.01.51.15.09;33;Visa;4716031500746290;01/12/2028;1450322793479 90;Financial investigator;Techo Solutions
56;French;Chaussée;Cécile;female;Ms.;10/10/1976;47;42 rue La Boétie;PARIS;IL;Île-de-France;75017;FR;France;CecileChaussee@einrot.com;01.47.99.30.03;33;Visa;4539088592444460;01/10/2028;2761077550981 56;Pointer;Sportswest
57;Brazil;Goncalves;Maria;female;Ms.;12/7/1980;43;2 rue Descartes;SURESNES;IL;Île-de-France;92150;FR;France;MariaDiasGoncalves@fleckens.hu;01.64.73.96.17;33;Visa;4716696786957370;01/07/2029;2801268712583 38;Social and human service assistant;Buehler Foods
58;United_Kingdom;Banks;Faith;female;Mrs.;1/8/1964;60;53 rue Banaudon;LYON;RA;Rhône-Alpes;69008;FR;France;FaithBanks@teleworm.us;04.94.67.65.42;33;Visa;4485514592790960;01/07/2026;2640126967942 76;Job analysis manager;National Auto Parts
59;Eritrean;Tekle;Ruta;female;Ms.;4/14/1990;34;18 rue Gustave Eiffel;RILLIEUX-LA-PAPE;RA;Rhône-Alpes;69140;FR;France;RutaTekle@jourrapide.com;04.73.97.28.58;33;MasterCard;5565343419754870;01/01/2028;2900494862931 78;Civil engineer;Edwards
60;Brazil;Ribeiro;Alex;male;Mr.;12/2/1988;35;35 rue du Gue Jacquet;CHÂTILLON;IL;Île-de-France;92320;FR;France;AlexCardosoRibeiro@superrito.com;01.83.67.32.39;33;MasterCard;5353542922410390;01/07/2029;1881221566731 56;Fishing vessel operator;Integra Wealth Planners
61;Igbo;Ginikanwa;Chinenye;female;Ms.;5/6/1960;64;82 rue Descartes;SURESNES;IL;Île-de-France;92150;FR;France;ChinenyeGinikanwa@fleckens.hu;01.73.70.98.45;33;Visa;4916399193634330;01/06/2029;2600597294954 70;Mortician;Mr. Clark's Appliances
62;Eritrean;Berhane;Mehari;male;Mr.;2/26/1973;51;31 rue Nationale;PARIS;IL;Île-de-France;75003;FR;France;MehariBerhane@armyspy.com;01.18.52.95.35;33;Visa;4485249976762110;01/06/2028;1730247598957 04;Beauty care specialist;De Pinna
63;Brazil;Cardoso;Laura;female;Ms.;10/22/1954;69;52 rue des lieutemants Thomazo;DIGNE-LES-BAINS;PA;Provence-Alpes-Côte d'Azur;4000;FR;France;LauraCarvalhoCardoso@cuvox.de;04.83.84.31.49;33;Visa;4485420283320770;01/12/2028;2541076848491 83;Drilling and boring machine tool setter;CSK Auto
64;Brazil;Cardoso;Diogo;male;Mr.;6/22/1989;35;70 avenue Voltaire;MÂCON;BO;Bourgogne;71000;FR;France;DiogoCunhaCardoso@armyspy.com;03.55.89.25.93;33;Visa;4556952866829440;01/07/2025;1890616911278 43;Administrative support manager;Gas Zone
65;Brazil;Azevedo;Larissa;female;Mrs.;12/3/1990;33;37 rue des six frères Ruellan;SARREGUEMINES;LO;Lorraine;57200;FR;France;LarissaBarbosaAzevedo@einrot.com;03.53.13.73.80;33;MasterCard;5228073545504720;01/06/2028;2901227283744 75;Theoretical chemist;Monk Home Loans
66;Hispanic;López;Alem;male;Mr.;12/1/2003;20;66 rue des Nations Unies;SAINT-BENOÎT;GY;Guyane;97470;FR;France;AlemLopezAranda@rhyta.com;02.72.07.91.92;33;MasterCard;5233289242034710;01/12/2028;1031246043140 39;Educational consultant;Morrison's Cafeteria
67;Hispanic;Portillo;Calixta;female;Mrs.;8/29/1972;52;55 rue Clement Marot;PERPIGNAN;LN;Languedoc-Roussillon;66000;FR;France;CalixtaPortilloArchuleta@gustr.com;04.03.19.23.63;33;Visa;4539459666715160;01/01/2027;2720897750733 39;Bookkeeping clerk;Albers Super Markets
68;French;Garreau;Millard;male;Dr.;9/9/1964;60;70 rue du Général Ailleret;LES ABYMES;GD;Guadeloupe;97139;FR;France;MillardGarreau@gustr.com;05.30.27.66.23;33;MasterCard;5343350744756230;01/09/2028;1640930352746 71;Speech writer;Sears Homelife
69;Brazil;Melo;Kauê;male;Mr.;1/25/1982;42;18 boulevard de la Liberation;MARSEILLE;PA;Provence-Alpes-Côte d'Azur;13011;FR;France;KauePereiraMelo@einrot.com;04.20.90.14.33;33;MasterCard;5403919290241990;01/10/2025;1820101950029 81;Aircraft surfaces assembler;Audio Visions
70;Brazil;Pinto;Nicolash;male;Mr.;11/18/1997;26;86 Quai des Belges;MARSEILLE;PA;Provence-Alpes-Côte d'Azur;13016;FR;France;NicolashCorreiaPinto@armyspy.com;04.26.46.70.92;33;MasterCard;5263176402206010;01/08/2029;1971135676906 14;Office machine and cash register technician;Modern Architecture Design
71;German;Beyer;Mandy;female;Ms.;10/2/1953;71;59 Avenue Millies Lacroix;EAUBONNE;IL;Île-de-France;95600;FR;France;MandyBeyer@rhyta.com;01.35.16.62.75;33;MasterCard;5530922758112850;01/02/2026;2531081705814 84;Polisher;Strategy Consulting
72;American;Ramos;Gary;male;Mr.;11/2/1989;34;37 rue Charles Corbeau;ÉVRY;IL;Île-de-France;91000;FR;France;GaryPRamos@dayrep.com;01.22.78.99.96;33;Visa;4929830278511120;01/10/2025;1891186343160 65;Concrete paving machine operator;Wilson's Jewelers
73;Igbo;Nkemjika;Onwuatuegwu;male;Mr.;12/2/1987;36;4 Cours Marechal-Joffre;DAX;AQ;Aquitaine;40100;FR;France;OnwuatuegwuNkemjika@superrito.com;05.31.28.21.22;33;MasterCard;5497781957680400;01/10/2027;1871254940040 34;Manicurist;Roadhouse Grill
74;German;Fuerst;Robert;male;Mr.;11/11/1952;71;76 rue du Président Roosevelt;SAUMUR;PL;Pays de la Loire;49400;FR;France;RobertFuerst@dayrep.com;02.77.95.40.15;33;MasterCard;5564735450739580;01/04/2028;1521157635808 43;Mold and model maker;Monsource
75;Brazil;Silva;Beatriz;female;Dr.;8/25/1954;70;29 rue du Château;SAINT-HERBLAIN;PL;Pays de la Loire;44800;FR;France;BeatrizSousaSilva@rhyta.com;02.08.53.15.63;33;Visa;4532146299217600;01/06/2027;2540810930066 89;Sound mixer;Lafayette Radio
76;Eritrean;Haylom;Kiros;male;Mr.;10/25/1969;54;59 rue du Fossé des Tanneurs;THONON-LES-BAINS;RA;Rhône-Alpes;74200;FR;France;KirosHaylom@rhyta.com;04.28.20.50.84;33;Visa;4929916996164010;01/12/2027;1691069027823 23;Marble setter;Magik Grey
77;German;Schreiber;Stefan;male;Mr.;2/14/1973;51;95 avenue du Marechal Juin;SAINT-LOUIS;AL;Alsace;68300;FR;France;StefanSchreiber@cuvox.de;03.77.85.34.91;33;Visa;4916918326834700;01/11/2026;1730266484738 26;Lodging manager;Laneco
78;Australian;Toliman;Eliza;female;Ms.;9/6/1988;36;5 Rue du Palais;ÉPINAL;LO;Lorraine;88000;FR;France;ElizaToliman@fleckens.hu;03.29.44.41.13;33;MasterCard;5538800064219700;01/07/2028;2880910236325 85;Fabricator;Argus Tapes & Records
79;Brazil;Alves;Julian;male;Mr.;9/24/2005;19;33 rue Michel Ange;LE LAMENTIN;MQ;Martinique;97232;FR;France;JulianCastroAlves@superrito.com;05.29.55.19.96;33;Visa;4539142281697590;01/09/2025;1050943078946 58;Construction equipment operator;John F. Lawhon
80;Australian;Toutcher;Tahlia;female;Ms.;12/14/1964;59;45 Square de la Couronne;PANTIN;IL;Île-de-France;93500;FR;France;TahliaToutcher@teleworm.us;01.32.89.15.80;33;Visa;4929261413553020;01/01/2029;2641237661696 69;Deckhand;Ransohoffs
81;Australian;Creed;Edward;male;Mr.;2/22/1952;72;59 rue Nationale;PARIS;IL;Île-de-France;75007;FR;France;EdwardCreed@jourrapide.com;01.56.68.56.52;33;Visa;4532324678043200;01/03/2029;1520284935237 53;Environmental scientist;Nan Duskin
82;Brazil;Azevedo;Rafael;male;Mr.;12/12/1974;49;89 rue Gustave Eiffel;RIS-ORANGIS;IL;Île-de-France;91000;FR;France;RafaelMartinsAzevedo@cuvox.de;01.30.65.33.57;33;Visa;4532665886254700;01/03/2027;1741285670662 37;Elevator constructor;Bold Ideas
83;Australian;McLucas;Ellie;female;Mrs.;9/19/1945;79;49 boulevard Bryas;CRÉTEIL;IL;Île-de-France;94000;FR;France;EllieMcLucas@dayrep.com;01.60.09.41.02;33;Visa;4539796283467440;01/06/2028;2450919253634 63;Preschool teacher;Endicott Johnson
84;German;Ebersbach;Franziska;female;Ms.;3/3/1991;33;30 place Stanislas;NANTES;PL;Pays de la Loire;44000;FR;France;FranziskaEbersbach@cuvox.de;02.75.58.56.94;33;MasterCard;5464376476905860;01/02/2029;2910383536837 96;Biomedical engineer;Heilig-Meyers
85;German;Mayer;Simone;female;Mrs.;2/22/1957;67;37 rue Reine Elisabeth;METZ;LO;Lorraine;57000;FR;France;SimoneMayer@armyspy.com;03.18.18.25.14;33;Visa;4916771914920730;01/05/2026;2570272387990 55;Desk clerk;Ardan's
86;Brazil;Ribeiro;Beatriz;female;Ms.;11/1/1958;65;10 rue Jean Vilar;BESANÇON;FC;Franche-Comté;25000;FR;France;BeatrizAlmeidaRibeiro@teleworm.us;03.49.38.94.21;33;Visa;4929151692040170;01/07/2027;2581193562249 21;Range manager;Sportswest
87;French;Bertrand;Royden;male;Mr.;12/27/1944;79;55 rue de la République;LYON;RA;Rhône-Alpes;69001;FR;France;RoydenBertrand@fleckens.hu;04.41.15.97.17;33;MasterCard;5522150107351120;01/05/2028;1441232284597 33;Erector;Sunny's Surplus
88;Australian;Dawes;Eliza;female;Mrs.;2/17/1939;85;16 Boulevard de Normandie;FONTENAY-SOUS-BOIS;IL;Île-de-France;94120;FR;France;ElizaDawes@dayrep.com;01.30.61.72.58;33;MasterCard;5556625517385180;01/05/2027;2390267494914 72;Embalmer;Terra
89;Eritrean;Mewael;Mustafa;male;Mr.;11/28/1952;71;42 rue Porte d'Orange;CAYENNE;GY;Guyane;97300;FR;France;MustafaMewael@einrot.com;05.71.26.90.44;33;MasterCard;5315478270273330;01/09/2025;1521105470977 20;Keypunch operator;Crandall's Fine Furniture
90;Australian;Winn;Taj;male;Mr.;11/3/1961;62;92 Avenue Millies Lacroix;ÉLANCOURT;IL;Île-de-France;78990;FR;France;TajWinn@einrot.com;01.47.12.83.60;33;Visa;4716750753992520;01/01/2029;1611192025965 19;Steamfitter;Afforda
91;United_Kingdom;Simmons;Muhammad;male;Mr.;8/24/1985;39;94 rue Clement Marot;PESSAC;AQ;Aquitaine;33600;FR;France;MuhammadSimmons@rhyta.com;05.53.47.83.35;33;MasterCard;5173766727652570;01/02/2025;1850855732835 54;Telecommunications service technician;Garden Master
92;Eritrean;Samuel;Futsum;male;Mr.;1/10/1976;48;91 rue Banaudon;LYON;RA;Rhône-Alpes;69009;FR;France;FutsumSamuel@dayrep.com;04.84.95.52.22;33;Visa;4532034163989240;01/11/2028;1760116214869 64;Forming machine operator;Newhair
93;Brazil;Barros;Giovana;female;Mrs.;12/5/1939;84;73 avenue de l'Amandier;BONDY;IL;Île-de-France;93140;FR;France;GiovanaSouzaBarros@superrito.com;01.26.81.39.80;33;Visa;4929379534330800;01/02/2026;2391242777251 64;Crossing guard;Hanover Shoe
